id,formal_dataset,classification,segment,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,expected_payoff,naturally_closed_trades,right_censored_positions,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,buy_net_profit,sell_net_profit,buy_trades,sell_trades,stop_loss_exits,donchian_10_exits,average_holding_seconds,median_holding_seconds,spread_blocks,execution_blocks,risk_engine_blocks,daily_limit_pauses,weekly_limit_pauses,emergency_stops,consecutive_loss_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,retest_1,retest_2,retest_3,retest_4,retest_5,retest_6
011-2025-s4-high-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S4,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9994.005155879388,-5.994844120612007,311.8410057095473,-317.8358498301593,0.9811385527346413,-0.23979376482448028,-0.007786427464143002,-0.007786427464143002,-0.23979376482448028,25,True,11,14,0,44.0,28.34918233723157,-22.702560702154237,1.2487217943895434,73.93234672304439,-27.691599239066825,148.2273571617934,1.4614864821053777,-0.1723089666550215,-0.040443574218681534,2,4,66.70363832742156,-72.69848244803356,14,11,9,16,107800.24,75603.0,0,0,0,0,0,0,0,,,,,,,11,10,1,1,1,1
012-2025-s4-stress-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S4,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9955.864104409766,-44.13589559023562,288.32840800098575,-332.4643035912214,0.8672462122595196,-1.7654358236094247,-0.06900456613658558,-0.06900456613658558,-1.7654358236094247,25,True,11,14,0,44.0,26.21167345463507,-23.747450256515812,1.103767906512116,71.75475687103594,-28.82157730677961,182.48830619782711,1.7999799060732253,-1.2640576543514137,-0.24185602085861843,2,4,41.30615762063108,-85.4420532108667,14,11,9,16,107800.24,75603.0,0,0,0,0,0,0,0,,,,,,,11,10,1,1,1,1
013-2026-p1-normal-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P1,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10118.919999303864,118.91999930386484,321.609417535941,-202.68941823207618,1.5867104476450928,6.995294076697932,0.2814904094531972,0.2814904094531972,6.995294076697932,17,False,6,11,0,35.294117647058826,53.6015695893235,-18.42631074837056,2.9089691540160034,115.53334452271217,-28.849433389410436,119.58063044428127,1.1958063044428127,5.336271744927212,0.9944754335383418,2,6,-5.864564302076442,124.78456360594129,7,10,3,14,98542.0,72071.0,2,0,0,0,0,0,0,97.15215707956818,97.15215707956818,75.7306549948188,171.04980741389653,76.69159194837361,100.0,8,4,2,1,0,2
014-2026-p1-high-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P1,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,10093.766764760197,93.76676476020106,313.3781681573777,-219.61140339717662,1.4269667390204681,5.515692044717709,0.22292780276266624,0.22292780276266624,5.515692044717709,17,False,6,11,0,35.294117647058826,52.22969469289628,-19.964673036106966,2.6161056882041915,114.3525734103941,-34.37257154966055,133.27664222980638,1.332766422298064,4.189655141950399,0.7035498733418029,2,6,-14.869792956207121,108.63655771640818,7,10,3,14,98542.0,72071.0,2,0,0,0,0,0,0,121.9542699407825,121.9542699407825,94.12651370095087,209.7293360669211,90.73608894939963,100.00000000000003,8,4,2,1,0,2
015-2026-p1-stress-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P1,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,10068.670342540818,68.67034254081351,305.1694569542792,-236.49911441346572,1.2903619436847396,4.0394319141655,0.1643651960721352,0.1643651960721352,4.0394319141655,17,False,6,11,0,35.294117647058826,50.861576159046535,-21.499919492133248,2.3656635634220224,113.17480583745521,-39.889813899135355,146.95784613528485,1.4695784613528484,3.0552626723839182,0.4672791847915198,2,6,-23.851095457848608,92.52143799866212,7,10,3,14,98542.0,72071.0,2,0,0,0,0,0,0,164.80885583203687,164.80885583203687,125.91285996437259,276.57076837850076,115.01969651353951,100.00000000000003,8,4,2,1,0,2
016-2026-p2-normal-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P2,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9846.804506598815,-153.19549340118797,176.32219363028278,-329.51768703147076,0.5350917433862755,-8.062920705325682,-0.322519686441748,-0.322519686441748,-8.062920705325682,19,False,4,15,0,21.052631578947366,44.080548407570696,-21.96784580209805,2.006594037698533,106.96171614961264,-38.35030131307075,185.19202078482886,1.8519202078482886,-6.563718773997385,-0.8272251296354877,2,9,-120.97393742656902,-32.22155597461897,6,13,11,8,87983.63157894737,46800.0,0,0,0,0,0,0,0,,,,,,,10,5,2,0,0,2
017-2026-p2-high-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P2,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9819.000072971487,-180.99992702851446,167.94075141568857,-348.940678444203,0.48128739866178416,-9.526311948869182,-0.3820422746580279,-0.3820422746580279,-9.526311948869182,19,False,4,15,0,21.052631578947366,41.98518785392214,-23.2627118962802,1.8048277449816905,104.33733275012497,-39.80093527108372,209.67829538739716,2.0967829538739715,-7.718409022726225,-0.8632268146500469,2,9,-129.90494957345638,-51.09497745505807,6,13,11,8,87983.63157894737,46800.0,0,0,0,0,0,0,0,,,,,,,10,5,2,0,0,2
018-2026-p2-stress-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P2,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9791.26952906075,-208.73047093925072,159.66604172266713,-368.3965126619179,0.4334081247647278,-10.985814259960565,-0.44156486287430785,-0.44156486287430785,-10.985814259960565,19,False,3,16,0,15.789473684210526,53.22201390755571,-23.024782041369868,2.311509998745215,101.71828908981482,-41.24894250527963,234.10752467998827,2.3410752467998828,-8.859018738407665,-0.8916008625719034,1,9,-138.81764177440277,-69.91282916484798,6,13,11,8,87983.63157894737,46800.0,0,0,0,0,0,0,0,,,,,,,10,5,2,0,0,2
019-2026-p3-normal-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P3,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9874.779767760265,-125.22023223973616,0,-125.22023223973616,0.0,-25.04404644794723,-1.00681182265444,-1.00681182265444,-25.04404644794723,5,True,0,5,0,0.0,,-25.04404644794723,,-21.869658119658123,-26.153487295998247,125.2202322397352,1.252202322397352,-13.788586275513403,-1.0000000000000078,0,5,-26.153487295998247,-99.06674494373792,1,4,4,1,61973.2,12372.0,0,0,2,0,0,0,2,,,,,,,4,0,0,0,1,0
020-2026-p3-high-native,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,2026_P3,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9867.218746442924,-132.78125355707704,0,-132.78125355707704,0.0,-26.55625071141541,-1.0679316153050884,-1.0679316153050884,-26.55625071141541,5,True,0,5,0,0.0,,-26.55625071141541,,-23.434829059829063,-27.870285061072195,132.78125355707562,1.3278125355707562,-14.56261728222592,-1.0000000000000107,0,5,-27.870285061072195,-104.91096849600484,1,4,4,1,61973.2,12372.0,0,0,2,0,0,0,2,,,,,,,4,0,0,0,1,0
