condition,previous_signal,previous_last_executed_entry,next_signal,next_first_executed_entry,elapsed_seconds,elapsed_days,crosses_2025_2026_seam,affected_by_cutoff,genuinely_reaches_60_days,sixty_day_timestamp,executed_trade_inside_interval
STRESS,2025.04.07 10:05:00,2025.04.07 10:05:01,2025.05.05 10:05:00,2025.05.05 10:05:01,2419200,28.0,NO,NO,NO,,NO
STRESS,2025.05.05 10:05:00,2025.05.05 10:05:01,2025.06.02 10:05:00,2025.06.02 10:05:01,2419200,28.0,NO,NO,NO,,NO
STRESS,2025.06.02 10:05:00,2025.06.02 10:05:01,2025.07.07 10:05:00,2025.07.07 10:05:01,3024000,35.0,NO,NO,NO,,NO
STRESS,2025.07.07 10:05:00,2025.07.07 10:05:01,2025.09.01 10:05:00,2025.09.01 10:05:00,4838399,55.99998842592593,NO,NO,NO,,NO
STRESS,2025.09.01 10:05:00,2025.09.01 10:05:00,2025.10.06 10:05:00,2025.10.06 10:05:01,3024001,35.00001157407407,NO,NO,NO,,NO
STRESS,2025.10.06 10:05:00,2025.10.06 10:05:01,2025.11.03 10:05:00,2025.11.03 10:05:01,2419200,28.0,NO,NO,NO,,NO
STRESS,2025.11.03 10:05:00,2025.11.03 10:05:01,2025.12.01 10:05:00,2025.12.01 10:05:02,2419201,28.000011574074072,NO,NO,NO,,NO
STRESS,2025.12.01 10:05:00,2025.12.01 10:05:02,2026.01.05 10:05:00,2026.01.05 10:05:03,3024001,35.00001157407407,YES,NO,NO,,NO
STRESS,2026.01.05 10:05:00,2026.01.05 10:05:03,2026.02.02 10:05:00,2026.02.02 10:05:01,2419198,27.99997685185185,NO,NO,NO,,NO
STRESS,2026.02.02 10:05:00,2026.02.02 10:05:01,2026.04.06 10:05:00,2026.04.06 10:05:00,5443199,62.99998842592593,NO,NO,YES,2026.04.03 10:05:01,NO
STRESS,2026.04.06 10:05:00,2026.04.06 10:05:00,2026.05.04 10:05:00,2026.05.04 10:05:00,2419200,28.0,NO,NO,NO,,NO
STRESS,2026.05.04 10:05:00,2026.05.04 10:05:00,2026.06.01 10:05:00,2026.06.01 10:05:01,2419201,28.000011574074072,NO,NO,NO,,NO
STRESS,2026.06.01 10:05:00,2026.06.01 10:05:01,2026.07.06 10:05:00,2026.07.06 10:05:03,3024002,35.000023148148145,NO,NO,NO,,NO
STRESS,2026.07.06 10:05:00,2026.07.06 10:05:03,TEST_CUTOFF_EXCLUSIVE,2026.08.01 00:00:00,2210097,25.57982638888889,NO,YES,NO,,NO
200MS,2025.01.06 10:05:00,2025.01.06 10:05:01,2025.02.03 10:05:00,2025.02.03 10:05:05,2419204,28.000046296296297,NO,NO,NO,,NO
200MS,2025.02.03 10:05:00,2025.02.03 10:05:06,2025.03.03 10:05:00,2025.03.03 10:05:00,2419194,27.999930555555554,NO,NO,NO,,NO
200MS,2025.03.03 10:05:00,2025.03.03 10:05:01,2025.04.07 10:05:00,2025.04.07 10:05:01,3024000,35.0,NO,NO,NO,,NO
200MS,2025.04.07 10:05:00,2025.04.07 10:05:02,2025.05.05 10:05:00,2025.05.05 10:05:02,2419200,28.0,NO,NO,NO,,NO
200MS,2025.05.05 10:05:00,2025.05.05 10:05:03,2025.06.02 10:05:00,2025.06.02 10:05:01,2419198,27.99997685185185,NO,NO,NO,,NO
200MS,2025.06.02 10:05:00,2025.06.02 10:05:03,2025.07.07 10:05:00,2025.07.07 10:05:03,3024000,35.0,NO,NO,NO,,NO
200MS,2025.07.07 10:05:00,2025.07.07 10:05:04,2025.09.01 10:05:00,2025.09.01 10:05:00,4838396,55.9999537037037,NO,NO,NO,,NO
